Block size,Time to read
1,23690292946
2,13782475856
3,10741598868
4,8907234953
5,7733338220
6,7024207926
7,6567664329
8,6156617601
9,5912722354
10,5687463760
11,5519068172
12,5317019224
13,5236807387
14,5166417088
15,5059390748
16,4920823918
17,4851335138
18,4764485452
19,4704467348
20,4660697869
21,4650965579
22,4528234376
23,4472935323
24,4503174550
25,4442242058
26,4425941908
27,4348669546
28,4300082929
29,4278892901
30,4238332367
31,4207301483
32,4167581772
33,4192531746
34,4153434339
35,4139923522
36,4112056148
37,4075739083
38,4047022049
39,4029906830
40,3989721149
41,3949468001
42,3927286191
43,3955834053
44,3919564660
45,3878857773
46,3864443484
47,3878048105
48,3850416954
49,3874393164
50,3849403519
51,3853611139
52,3840290615
53,3821987855
54,3785927120
55,3768793641
56,3764668585
57,3769692771
58,3782116241
59,3727310835
60,3739861812
61,3727213607
62,3738115191
63,3708343125
64,3684149116
65,3722656917
66,3711973250
67,3696992174
68,3719208986
69,3673627330
70,3702126437
71,3668818931
72,3686997053
73,3666581570
74,3662195639
75,3648543508
76,3683198013
77,3643428709
78,3616570602
79,3648760711
80,3603154557
81,3609909534
82,3648137264
83,3619894226
84,3618898890
85,3609157472
86,3624806699
87,3569949507
88,3611977696
89,3580651976
90,3574508673
91,3570775794
92,3579469691
93,3586853096
94,3573960129
95,3563561061
96,3558405303
97,3532993547
98,3569505873
99,3539141110
100,3531307405
101,3550998674
102,3546265590
103,3554727553
104,3541383701
105,3540825582
106,3523386972
107,3510556802
108,3519777749
109,3534452725
110,3518640027
111,3504041179
112,3501699126
113,3505229380
114,3527867734
115,3498421359
116,3495389398
117,3477960060
118,3496014832
119,3515288843
120,3529980424
121,3493707921
122,3476111262
123,3483484110
124,3478663290
125,3471790177
126,3476863110
127,3466846952
128,3481127291
129,3504660951
130,3484214952
131,3508628660
132,3469766030
133,3483539631
134,3478502584
135,3472420023
136,3475819730
137,3467579947
138,3492056206
139,3476903890
140,3482453967
141,3473863775
142,3457682513
143,3453837351
144,3405065535
145,3447726830
146,3449759719
147,3442905216
148,3439367260
149,3434045045
150,3426392116
151,3420674016
152,3425619239
153,3433730797
154,3437451345
155,3411599279
156,3417858184
157,3421911271
158,3423129838
159,3426313864
160,3405710847
161,3433110068
162,3402796072
163,3449173865
164,3415515515
165,3410437950
166,3418493090
167,3409655379
168,3410018121
169,3393815604
170,3382683212
171,3410566722
172,3394990296
173,3387922441
174,3389836634
175,3394916336
176,3386806322
177,3405833467
178,3411694634
179,3387065295
180,3402166167
181,3397416525
182,3406802721
183,3378690725
184,3393775191
185,3388638231
186,3401853287
187,3396962425
188,3396095883
189,3400941370
190,3416124724
191,3378185373
192,3383837768
193,3368038526
194,3389491022
195,3396061951
196,3382241999
197,3376259535
198,3393398808
199,3386581956
200,3353518937
201,3366229999
202,3362869408
203,3370578328
204,3344997291
205,3368548913
206,3372892540
207,3387487027
208,3389920954
209,3385782279
210,3393437906
211,3343585083
212,3354562379
213,3364976736
214,3378661947
215,3365405707
216,3347607044
217,3387865192
218,3411639414
219,3392610688
220,3368130156
221,3381193137
222,3381772936
223,3350729857
224,3371204091
225,3345807513
226,3385421279
227,3365238151
228,3351720965
229,3382806528
230,3342378387
231,3344790345
232,3343825622
233,3351777776
234,3349133122
235,3342219335
236,3368106665
237,3351162359
238,3373723341
239,3365713189
240,3343887520
241,3354329006
242,3351800365
243,3356807443
244,3357380478
245,3343475488
246,3343417433
247,3355558705
248,3354878067
249,3342301404
250,3347169320
251,3375154887
252,3339906616
253,3337010618
254,3355315347
255,3330846302
256,3347506057
257,3352340989
258,3354083092
259,3374897941
260,3360383483
261,3353653794
262,3356525410
263,3353322979
264,3357770461
265,3365911315
266,3357152340
267,3348664364
268,3337362269
269,3335974946
270,3332510704
271,3352191127
272,3364878902
273,3340543844
274,3349523679
275,3352295627
