Block size,Time to read
456,2267273475
457,2294732102
458,2255725682
459,2271387116
460,2320964595
461,2252320232
462,2270925189
463,2258548001
464,2276730609
465,2261509935
466,2255520824
467,2246845086
468,2268956854
469,2233164333
470,2251166060
471,2265167522
472,2240987535
473,2244104019
474,2247449980
475,2231036020
476,2257456031
477,2251719102
478,2249879519
479,2241440226
480,2231066562
481,2227565599
482,2235618682
483,2226506094
484,2233189832
485,2225682315
486,2233306103
487,2229852723
488,2246060927
489,2242635617
490,2240786327
491,2225261972
492,2217801245
493,2215235498
494,2270603163
495,2218588236
496,2346455618
497,2221258800
498,2215592249
499,2218792851
500,2213857712
501,2509228990
502,2148215883
503,2136673784
504,2159312848
505,2125911215
506,2152935102
507,2140743790
508,2134076888
509,2110915966
510,2141621808
511,2125163630
512,2126921291
513,2133318822
514,2142359460
515,2156878638
516,2106300982
517,2123999317
518,2123977704
519,2116633324
520,2118764284
521,2102344152
522,2148308078
523,2115206687
524,2104445627
525,2132454883
526,2122431026
527,2091591816
528,2104161232
529,2111754235
530,2112917267
531,2136310516
532,2123089660
533,2093762045
534,2120949421
535,2093160472
536,2116437987
537,2091517406
538,2088708894
539,2113444609
540,2102682569
541,2094977679
542,2108529020
543,2088964177
544,2099166355
545,2129530345
546,2088931944
547,2089740591
548,2081039339
549,2083137261
550,2083114279
551,2088486452
552,2114400703
553,2088359356
554,2076560608
555,2089457938
556,2082617209
557,2089946732
558,2077328576
559,2078172669
560,2066725852
561,2068121634
562,2068200284
563,2076489398
564,2080166740
565,2079681677
566,2070597232
567,2059412297
568,2070820086
569,2061184833
570,2070847311
571,2062659378
572,2066559513
573,2061354965
574,2074487316
575,2074171357
576,2057171592
577,2051273790
578,2064983283
579,2053333659
580,2059342158
581,2058578849
582,2046845387
583,2050946947
584,2063165076
585,2053765452
586,2052277240
587,2065424886
588,2049637139
589,2059005265
590,2048914659
591,2052442819
592,2036161717
593,2045065400
594,2044736741
595,2051368924
596,2097166943
597,2052580222
598,2048475077
599,2047702673
600,2044493505
601,2000868655
602,2018042780
603,1989593991
604,1987469428
605,1984527204
606,1988381709
607,1987530556
608,1976516740
609,1975942255
610,1973779891
611,1994296238
612,1967227713
613,1984459325
614,1967286506
615,1962069236
616,1980826695
617,1977444161
618,1985612150
619,1987898347
620,1979849040
621,1963881742
622,1973387406
623,1970399568
624,1977285662
625,1972149922
626,1977295685
627,1976273539
628,1981189383
629,1967964328
630,1968032845
631,1968584003
632,1960455650
633,1970280289
634,1992673939
635,1962387571
636,1970740645
637,1957123951
638,1975229767
639,1944556192
640,1968938499
641,1964168535
642,1952135030
643,1953520907
644,1980001164
645,1966296279
646,1954584754
647,1949306140
648,1956115985
649,1958733496
650,1961016958
651,1950923782
652,1950567739
653,1942772684
654,1938517215
655,1963093096
656,1945656157
657,1943324771
658,1941959952
659,1938913251
660,1951886958
661,1961490163
662,1948014741
663,1964363877
664,1924248948
665,1943841539
666,1946944223
667,1935692819
668,1936507144
669,1939696466
670,1932955497
671,1935275879
672,1939212529
673,1932262825
674,1930237440
675,1936399501
676,1927812913
677,1928179882
678,1925627879
679,1917062671
680,1926984683
681,1930037995
682,1930784751
683,1938610443
684,1918117299
685,1930013089
686,1930217870
687,1928772723
688,1928934977
689,1919702743
690,1915635375
691,1923512177
692,1929063994
693,1924215850
694,1917995951
695,1923160494
696,1926501641
697,1924433934
698,1911748357
699,1915765992
700,1924907106
701,1882877806
702,1885703445
703,1896090362
704,1890411648
705,1874647115
706,1881518138
707,1873918670
708,1863713052
709,1870670508
710,1869941876
711,1871617179
712,1875718313
713,1880149063
714,1872520677
715,1876827913
716,1862570510
717,1871875683
718,1883071601
719,1892170795
720,1864103232
721,1866125706
722,1866336610
723,1861636221
724,1865085366
725,1869763768
726,1869494959
727,1869216619
728,1862170121
729,1854829585
730,1867595998
731,1857860886
732,1845253582
733,1851168622
734,1861167047
735,1851158112
736,1858064665
737,1844807713
738,1871250825
739,1855426657
740,1852363845
741,1846968846
742,1856484443
743,1843573009
744,1838371504
745,1856452408
746,1853844771
747,1853195160
748,1841828131
749,1844009152
750,1849839245
751,1851966606
752,1841113448
753,1844152320
754,1849352766
755,1854292268
756,1846020163
757,1842558626
758,1842665213
759,1836227593
760,1837790561
761,1842643467
762,1835610027
763,1838804579
764,1839957338
765,1845459618
766,1835933440
767,1847641019
768,1838958144
769,1834828065
770,1834329313
771,1839139615
772,1833908968
773,1872250999
774,1895377955
775,1832592358
776,1831172640
777,1832997419
