Block size,Time to read
1,560429505
2,360708974
3,303109516
4,260834762
5,241705937
6,224404080
7,215409807
8,206151879
9,186320538
10,177155638
11,177571179
12,182111077
13,187695360
14,183738765
15,182820404
16,178570998
17,179432449
18,176755701
19,176109138
20,158688333
21,156940517
22,155216426
23,154318062
24,153239193
25,153424232
26,153021846
27,152080051
28,150487112
29,151909406
30,151782397
31,150326800
32,149139853
33,150267858
34,164097002
35,165572269
36,163983048
37,162401523
38,162337618
39,162245394
40,161307054
41,161958653
42,161979766
43,155952291
44,147593481
45,147319109
46,159782722
47,160896817
48,161934917
49,160708192
50,160345303
51,160638873
52,159922315
53,160421088
54,160903104
55,160988684
56,158887460
57,159196896
58,157065547
59,158659538
60,158767108
61,159288538
62,159537376
63,159463783
64,159095822
65,159097596
66,158816973
67,159533416
68,157944938
69,159383768
70,157737830
71,159297496
72,157189331
73,157916056
74,157219593
75,156392724
76,157413517
77,157792638
78,158199628
79,157134398
80,156390764
81,158799501
82,156330331
83,157524040
84,156831707
85,156835888
86,157849714
87,157718429
88,155516765
89,156614821
90,156192235
91,157399787
92,157532709
93,155772300
94,155828665
95,155311692
96,156460033
97,156196514
98,154841323
99,155921924
100,155352921
