Block size,Time to read
1,567081067
2,337573434
3,274119931
4,250300236
5,242592796
6,207681566
7,195036604
8,186556526
9,184449415
10,193310305
11,193303697
12,188371829
13,187119173
14,183404206
15,175510275
16,161812777
17,160597986
18,159564906
19,158152508
20,156791662
21,155979082
22,153824759
23,155035882
24,152366332
25,152373450
26,151266361
27,151047211
28,151048865
29,150694507
30,154662611
31,165256092
32,166089584
33,165052815
34,163400193
35,163370806
36,162504874
37,162885983
38,162325297
39,162854794
40,161451253
41,160563888
42,161618844
43,162416792
44,160608342
45,160776720
46,160083403
47,159667702
48,159346306
49,160822985
50,160305126
51,160532831
52,160522806
53,161528405
54,160376845
55,159211077
56,160074845
57,159670640
58,159701888
59,161752867
60,158971892
61,158152482
62,157560164
63,157836998
64,159258004
65,158506743
66,159686019
67,158098589
68,157216531
69,157398791
70,157497861
71,156311345
72,157941490
73,156605033
74,156641570
75,156363431
76,155808122
77,158127813
78,156747233
79,156962025
80,156658079
81,155431091
82,155683580
83,156287957
84,155949582
85,155146171
86,155867145
87,156959111
88,154833520
89,156477669
90,155423679
91,154936773
92,157234367
93,156615380
94,154569527
95,154642187
96,155175880
97,154987927
98,154963984
99,155099527
100,155695881
