Block size,Time to read
456,5980754981
457,5972495282
458,5972331989
459,5983910995
460,5975495809
461,5984079452
462,5981302587
463,5998754182
464,5978226236
465,5979011982
466,5987620312
467,5994335780
468,5987941634
469,5984038813
470,5986996147
471,5980301698
472,5972354036
473,5970237399
474,5967176924
475,5974502742
476,5972939934
477,5986037209
478,5994102154
479,6003178049
480,5977094628
481,5991542974
482,5978333836
483,5976141938
484,5983596618
485,5980354658
486,5986230831
487,5995736981
488,5986630518
489,6001221252
490,6002576855
491,5978388429
492,5990614793
493,5996647837
494,5996149518
495,5989246655
496,5988607749
497,5990024837
498,6004108598
499,5993770044
500,5983552928
501,5985382059
502,5984332152
503,5983548689
504,5981612412
505,6013687466
506,5998491308
507,5999586100
508,5979512103
509,6000837059
510,5990785902
511,5985258882
512,5984877174
513,5997721334
514,5977494180
515,5994152298
516,5999587766
517,5990309224
518,6014492728
519,5996228195
520,6007710967
521,5995523880
522,6004660322
523,6008335988
524,6017709628
525,6025617750
526,6000643800
527,6007237040
528,5997774214
529,6002958718
530,6005853141
531,5995055965
532,5996594310
533,6017264078
534,6007563912
535,6013780846
536,6016316414
537,6004553133
538,5974899817
539,5978046859
540,5977598098
541,5984321619
542,5991356626
543,5973988597
544,5980361890
545,5987204506
546,5986122588
547,5983503102
548,5977556572
549,5973815221
550,5974207343
551,5991192239
552,5986399042
553,5984524384
554,5968683556
555,5997007367
556,5979210809
557,5993329697
558,5993734371
559,5982108364
560,6006570727
561,5994271523
562,6005342195
563,5994225824
564,6002359862
565,6004695653
566,6010533932
567,6009551130
568,5993067978
569,5994032842
570,6052988400
571,6026435143
572,6035539304
573,6027910168
574,6036283364
575,6035988736
576,6041833417
577,6034721755
578,6042960057
579,6056965819
580,6048495558
581,6045083308
582,6042824619
583,6024811137
584,6044138880
585,6038837242
586,6048038624
587,6044004514
588,6061887041
589,6052886965
590,6048158112
591,6060095994
592,6053847174
593,6059672982
594,6075839848
595,6073792061
596,6060349547
597,6057246304
598,6065632980
599,6061369845
600,6067520332
601,6066917738
602,6068086595
603,6059186662
604,6113634763
605,6080844096
606,6073886167
607,6074730888
608,6070978694
609,6085989277
610,6073727918
611,6088635967
612,6087754934
613,6089951893
614,6097347055
615,6092085830
616,6096450916
617,6098026567
618,6094498588
619,6099385064
620,6109372152
621,6104291849
622,6099267643
623,6094782201
624,6081962601
625,6089136406
626,6093251032
627,6102410034
628,6089436697
629,6091119122
630,6118239483
631,6100420058
632,6111074318
633,6086948384
634,6109225054
635,6111953846
636,6125263885
637,6136433907
638,6410550215
639,6092982315
640,6109270991
641,6126543187
642,6121303961
643,6127205983
644,6123181332
645,6123036393
646,6131209805
647,6143618383
648,6127069826
649,6125517107
650,6151809472
651,6143559430
652,6140192519
653,6157158496
654,6148490472
655,6147917590
656,6142325085
657,6126848629
658,6138870308
659,6136613685
660,6140458133
661,6148693117
662,6145753132
663,6152133325
664,6145845610
665,6145518507
666,6158342686
667,6146901411
668,6168025135
669,6152414744
670,6161153985
671,6154822876
672,6173354954
673,6154375824
674,6160873472
675,6163272593
676,6168819620
677,6157360845
678,6162523653
679,6169206854
680,6155301860
681,6167255147
682,6165043905
683,6180759180
684,6174488273
685,6178600562
686,6185986987
687,6180126746
688,6184658751
689,6186396086
690,6172353654
691,6193813375
692,6179742260
693,6188004777
694,6183509734
695,6188963205
696,6184458234
697,6178245731
698,6186882974
699,6188388411
700,6185984929
701,6193851116
702,6210083861
703,6186738174
704,6184333606
705,6189819737
706,6186897981
707,6197295980
708,6198022380
709,6188526144
710,6204911863
711,6200450992
712,6203518069
713,6188252669
714,6192767388
715,6196725306
716,6204126894
717,6205738217
718,6208569455
719,6217750673
720,6208960593
721,6211760262
722,6215123335
723,6198585176
724,6205462568
725,6366916379
726,6219707433
727,6224366353
728,6217013387
729,6217690316
730,6222607752
731,6211946423
732,6220344880
733,6220230065
734,6214464264
735,6219433689
736,6223664657
737,6207510104
738,6218479894
739,6209409834
740,6209556186
741,6239512023
742,6219471190
743,6236116105
744,6244029740
745,6235979965
746,6569840177
747,6833282414
748,6221956527
749,6229124878
750,6249639208
751,6231937273
752,6215577661
753,6217274821
754,6230182138
755,6228590002
756,6219226052
757,6234997525
758,6228118350
759,6231895576
760,6241419042
761,6225465279
762,6215248654
763,6224576207
764,6222751294
765,6228238560
766,6236948517
767,6227273555
768,6237453091
769,6235871610
770,6227740025
771,6222966262
772,6236424134
773,6234493939
774,6218734300
775,6229222142
776,6237346350
777,6246326296
778,6231586582
779,6235520448
780,6243073259
781,6236034088
782,6232385979
783,6237615230
784,6235843639
785,6236783359
786,6229632559
787,6233761760
788,6228668869
789,6239469550
790,6383517251
791,6237011977
792,6234325612
793,6243358648
794,6244900756
795,6227040845
796,6212651199
797,6211259016
798,6239812845
799,6202214881
800,6221761851
801,6218121272
802,6211973924
803,6212227261
804,6203782144
805,6214501081
806,6204681267
807,6212866685
808,6209946132
809,6211389002
810,6225204407
811,6215712831
812,6221824821
813,6212020932
814,6217529528
815,6227013487
816,6217538711
817,6233003527
818,6234789210
819,6223192216
820,6235715482
821,6229307329
822,6242833715
823,6234451506
824,6234459642
825,6232241596
826,6228675084
827,6241607624
828,6236482988
829,6234143718
830,6227465218
831,6230652825
832,6237067145
833,6244883638
834,6245838035
835,6244301538
836,6247018821
837,6238745775
838,6245011889
839,6249071679
840,6232877593
841,6227013474
842,6231610865
843,6248656993
844,6248249187
845,6243905598
846,6252036284
847,6273311146
848,6255509414
849,6269283798
850,6256083698
851,6254316629
852,6251822301
853,6265663808
854,6265983192
855,6270012292
856,6260060534
857,6270556209
858,6262799494
859,6263226280
860,6252842027
861,6269698769
862,6271373061
863,6266062486
864,6265673142
865,6266878680
866,6262437883
867,6268109651
868,6281953957
869,6262627847
870,6274183885
871,6291322831
872,6282520822
873,6303048705
874,6283615729
875,6286762392
876,6282872631
877,6285282561
878,6283283258
879,6297171736
880,6286999198
881,6310004539
882,6276979665
883,6259185152
884,6275118312
885,6269638293
886,6265740791
887,6262236889
888,6294480606
889,6306168785
890,6307727465
891,6347332146
892,6327757871
893,6319165356
894,6377614129
895,6315471519
896,6319489758
897,6312415566
898,6306051657
899,6320413292
900,6316158933
901,6316232382
902,6316122733
903,6315824172
904,6313284079
905,6319199376
906,6334238688
907,6323954387
908,6324419404
909,6322659159
910,6336952737
911,6337030942
912,6347449533
913,6349976106
914,6349019687
915,6338725650
916,6342368566
917,6336689740
918,6342455224
919,6333275550
920,6339872398
921,6344178185
922,6340926084
923,6340303352
924,6353456595
925,6343517240
926,6338075297
927,6655827205
928,6354981949
929,6365455668
930,6361373884
931,6358366738
932,6367672340
933,6346673945
934,6353462039
935,6366622629
936,6350860802
937,6360546751
938,6364081160
939,6353268189
940,6371466810
941,6376248451
942,6392324283
943,6367205069
944,6389083782
945,6382822292
946,6381018979
947,6381086241
948,6377388213
949,6378310006
950,6389124342
951,6381952697
952,6372015200
953,6375576297
954,6372552307
955,6390573560
956,6385992450
957,6386298928
958,6368539209
959,6384253479
960,6375245872
961,6390550719
962,6391354644
963,6405840453
964,6388991538
965,6381964178
966,6383819903
967,6385113230
968,6397685536
969,6387092844
970,6407262199
971,6406836696
972,6388902145
973,6402310509
974,6410930036
975,6396378843
976,6410425428
977,6426834270
978,6395101059
979,6405830805
980,6405693977
981,6417794208
982,6396711343
983,6392441698
984,6393309001
985,6378729248
986,6381436130
987,6392780521
988,6400575806
989,6393976592
990,6387243033
991,6396389753
992,6398224497
993,6403122091
994,6395451481
995,6391032871
996,6404905913
997,6399737054
998,6408037836
999,6404413631
1000,6396348189
