Block size,Time to read
1,594950567
2,368376657
3,275503777
4,236944815
5,221359904
6,203573111
7,197304803
8,186869765
9,184509075
10,177159055
11,174870980
12,170851622
13,169372020
14,165997481
15,166871902
16,162106253
17,160266731
18,159240026
19,159212228
20,157211290
21,155975639
22,153719361
23,154493538
24,153118220
25,151265975
26,151326755
27,151502008
28,150953449
29,150174022
30,149546628
31,150418519
32,147439223
33,157239747
34,165058649
35,164621098
36,162536876
37,171792120
38,180534656
39,181039552
40,182171121
41,182311062
42,179611583
43,180427195
44,179748989
45,163478392
46,145655782
47,147436013
48,145598150
49,145416140
50,145071169
51,145099324
52,144962793
53,145289503
54,146651978
55,160349861
56,159635582
57,158490456
58,157608829
59,159334609
60,159306727
61,158483997
62,157950866
63,157636896
64,157584146
65,159090160
66,158166109
67,158556037
68,156884450
69,157893720
70,158460930
71,159393586
72,158264268
73,156768658
74,156615568
75,157528707
76,155244676
77,152284994
78,142802340
79,142660823
80,141855628
81,141797827
82,142322598
83,141695364
84,141504887
85,141872528
86,143503651
87,142661728
88,141674273
89,142329579
90,142020127
91,142445271
92,143320180
93,142553025
94,141049048
95,140320442
96,141161856
97,140771173
98,141448366
99,141102356
100,141595170
